# Symptoms, # cases, Pct. Top Diagnosis Accurate, Pct. Top 3 Diagnosis Accurate, Pct. Top 5 Diagnosis Accurate
4, 2, 100.0, 100.0, 100.0
5, 1, 0.0, 0.0, 0.0
6, 10, 20.0, 40.0, 40.0
7, 36, 44.44444444444444, 72.22222222222221, 72.22222222222221
8, 74, 41.891891891891895, 68.91891891891892, 78.37837837837837
9, 137, 56.934306569343065, 78.1021897810219, 83.94160583941606
10, 177, 59.887005649717516, 79.66101694915254, 85.31073446327684
11, 179, 63.687150837988824, 81.56424581005587, 88.8268156424581
12, 143, 56.64335664335665, 78.32167832167832, 90.20979020979021
13, 118, 50.847457627118644, 77.11864406779661, 88.13559322033898
14, 71, 70.4225352112676, 90.14084507042254, 95.77464788732394
15, 25, 64.0, 84.0, 92.0
16, 17, 64.70588235294117, 88.23529411764706, 94.11764705882352
17, 7, 28.57142857142857, 71.42857142857143, 85.71428571428571
18, 1, 100.0, 100.0, 100.0
19, 1, 0.0, 0.0, 100.0
